client_id,average_balance,has_deposits,loan,has_insurance,has_mortgage,age,gender,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,probability,Unnamed: 0,target,poutcome
458110879,101.94202878394879,1,0,0,0,18,1,False,False,True,False,False,False,True,0.5793569731747826,0,458110879,1
1951922656,129.4371183004063,1,0,0,0,18,1,False,False,True,False,False,False,True,0.5792758234948835,1,1951922656,1
618893370,401.4669571995415,1,0,0,0,19,1,False,False,True,False,True,False,False,0.5782917933508901,2,618893370,1
1441287851,753.8019356980195,1,0,0,0,19,0,False,False,True,False,False,False,True,0.5781567398290703,3,1441287851,1
458435302,19.40663687721848,1,0,0,0,18,0,False,False,True,False,False,False,True,0.577998391772161,4,458435302,1
1153128148,350.51197103978996,1,0,1,0,19,1,False,False,True,False,True,False,False,0.5775732194802451,5,1153128148,1
1070950756,310.15486076681873,1,0,0,0,19,1,False,False,True,False,True,False,False,0.5775732194802451,6,1070950756,1
1018892774,335.34823966851144,1,0,0,0,19,0,False,False,True,False,True,False,False,0.577369499232878,7,1018892774,0
1030202609,362.4068533652654,1,0,0,0,18,0,False,False,True,False,False,False,True,0.577369499232878,8,1030202609,1
794022898,135.74376218799588,1,0,0,0,19,0,False,False,True,True,False,False,False,0.5771957913895466,9,794022898,0
750525215,581.7816737791584,1,0,0,0,18,1,False,False,True,True,False,False,False,0.5771867775977895,10,750525215,1
1698582204,157.92772560355553,1,0,0,0,19,1,False,False,True,True,False,False,False,0.5766484444017392,11,1698582204,0
100646594,37140.33180443447,0,0,0,0,75,0,True,False,False,True,False,False,False,0.5746067788204486,12,100646594,1
1617864948,42.78019057267899,0,0,0,0,19,0,False,False,True,False,False,False,True,0.570172766885926,13,1617864948,0
1852631292,60.54159832980992,0,0,1,0,19,1,False,False,True,False,True,False,False,0.5693542666321292,14,1852631292,0
1866629429,29334.823627794143,1,0,0,0,77,0,False,True,False,True,False,False,False,0.5677048195424416,15,1866629429,0
667293473,52534.49192726554,1,0,0,0,61,0,True,False,False,False,False,True,False,0.565466450201348,16,667293473,1
393510702,29020.374486990066,1,0,0,0,74,1,True,False,False,True,False,False,False,0.564133857693358,17,393510702,0
1109522163,32696.82415370965,1,0,0,0,61,1,False,True,False,False,False,True,False,0.5631397001447129,18,1109522163,1
1718233087,31472.02606312009,1,0,0,0,45,0,False,True,False,False,False,True,False,0.5603452620974511,19,1718233087,0
1627910488,34630.64474277943,1,0,1,0,32,0,False,False,True,False,False,True,False,0.5600475773906942,20,1627910488,0
1166226955,598.2499590716891,1,0,1,0,86,1,False,False,True,False,True,False,False,0.5578441961113971,21,1166226955,1
1285603128,6697.8234781024685,1,0,1,0,87,1,True,False,False,True,False,False,False,0.5572705843983901,22,1285603128,0
1226229231,653.1678589216891,1,0,1,0,90,0,True,False,False,True,False,False,False,0.5571291213734589,23,1226229231,1
1158208655,796.5148036517011,1,0,0,0,92,0,False,True,False,False,False,False,True,0.5570348444366815,24,1158208655,0
514023154,45231.31421786714,1,0,0,1,39,0,False,False,True,False,False,False,True,0.5567287961241019,25,514023154,0
1094807734,2274.650812370998,1,0,1,0,95,1,True,False,False,True,False,False,False,0.5561906507885034,26,1094807734,1
674391373,5215.822691416899,1,0,1,0,86,0,False,True,False,True,False,False,False,0.555782913131162,27,674391373,0
1989180463,36270.63771662087,1,0,0,1,29,0,False,False,True,False,False,True,False,0.5547622486989072,28,1989180463,0
1921663862,2180.8757352284188,1,0,1,0,87,1,False,True,False,True,False,False,False,0.5541419901662575,29,1921663862,1
1907152369,279.6194685424404,1,0,0,0,87,0,False,True,False,True,False,False,False,0.5539887545991966,30,1907152369,0
1239608796,56821.36130709843,0,0,0,0,43,0,False,False,True,False,True,False,False,0.5526818274499874,31,1239608796,0
415300718,66674.37779596719,0,0,0,0,52,0,False,True,False,True,False,False,False,0.5517526996540759,32,415300718,0
1018647528,29197.66150468163,0,0,1,0,60,0,False,True,False,True,False,False,False,0.5515693201179039,33,1018647528,0
1441854729,31839.949958778412,0,0,1,0,31,0,False,False,True,False,True,False,False,0.5515336197527771,34,1441854729,0
